title,company,location,date_posted
Coordination Executive / Data Analyst,"Riphah International University,","Islamabad, , Pakistan","May 21, 2025"
Data Analyst,"ValueMomentum,",", Pakistan","May 20, 2025"
Data Analyst - Online,"Carnivore Style,",", Pakistan","May 07, 2025"
Financial Data Analyst,"FGK Back Office Services (Private) Limited,","Islamabad, ","Apr 27, 2025"
Credit Analyst,"Cloud Data,","Rawalpindi, , Pakistan","May 16, 2025"
Lead Analyst,"Venture Smarter,",", Pakistan","May 19, 2025"
Market Research Analyst,"Silver Light Group,","Karachi, , Pakistan","May 17, 2025"
Research Analyst,"Bio Vision Group,",", Pakistan","May 17, 2025"
Assistant Manager - Business Support & Intelligence Analyst,"EFU Life Assurance Ltd.,","Karachi, , Pakistan","May 23, 2025"
Quality Analyst,"Shifa International Hospital Ltd,","Islamabad, , Pakistan","May 05, 2025"
Research / Strategy Analyst,"AG7 Marketing (Private) Limited,",", Pakistan","May 20, 2025"
QACE Analyst,"Dm Clinical Research Group,",", Pakistan","May 20, 2025"
Demand CCC Analyst - CoE,"GSK,","Karachi, , Pakistan","May 20, 2025"
Product Analyst,"Broadridge,",", Pakistan","May 20, 2025"
Business Analyst - Marketing Department,"GIFT University,","Lahore, , Pakistan","May 20, 2025"
"Analyst, OTC","Maersk Line,",", Pakistan","May 20, 2025"
Real Estate Analyst,"RepHero Global,","Lahore, , Pakistan","May 20, 2025"
Coordination Executive / Data Analyst,"Riphah International University,","Islamabad, , Pakistan","May 21, 2025"
Data Analyst,"ValueMomentum,",", Pakistan","May 20, 2025"
Data Analyst - Online,"Carnivore Style,",", Pakistan","May 07, 2025"
Financial Data Analyst,"FGK Back Office Services (Private) Limited,","Islamabad, ","Apr 27, 2025"
Credit Analyst,"Cloud Data,","Rawalpindi, , Pakistan","May 16, 2025"
Lead Analyst,"Venture Smarter,",", Pakistan","May 19, 2025"
Market Research Analyst,"Silver Light Group,","Karachi, , Pakistan","May 17, 2025"
Research Analyst,"Bio Vision Group,",", Pakistan","May 17, 2025"
Assistant Manager - Business Support & Intelligence Analyst,"EFU Life Assurance Ltd.,","Karachi, , Pakistan","May 23, 2025"
Quality Analyst,"Shifa International Hospital Ltd,","Islamabad, , Pakistan","May 05, 2025"
Research / Strategy Analyst,"AG7 Marketing (Private) Limited,",", Pakistan","May 20, 2025"
QACE Analyst,"Dm Clinical Research Group,",", Pakistan","May 20, 2025"
Demand CCC Analyst - CoE,"GSK,","Karachi, , Pakistan","May 20, 2025"
Product Analyst,"Broadridge,",", Pakistan","May 20, 2025"
Business Analyst - Marketing Department,"GIFT University,","Lahore, , Pakistan","May 20, 2025"
"Analyst, OTC","Maersk Line,",", Pakistan","May 20, 2025"
Real Estate Analyst,"RepHero Global,","Lahore, , Pakistan","May 20, 2025"
Admin - Data Analyst II,RWDY Inc,"Midland, TX","May 16, 2025"
ETL Data Analyst,Gainwell Technologies LLC,Missouri,"April 24, 2025"
Data Analyst,Nautilus Hyosung America Inc,"Dallas, TX","May 08, 2025"
"Analyst, Data Science",Toyota,"Plano, TX","April 30, 2025"
Data Analyst,"Physicians' Choice, LLC","Woodland Hills, CA","May 20, 2025"
Data Analyst/ Power BI Developer,Bowhead,"Aberdeen, MD","May 24, 2025"
Data Analyst,Alivi,"Miami, FL","May 20, 2025"
Data Analyst II,Lennar,"Miami, FL","May 14, 2025"
Associate Data Analyst,The Surplus Line Association of CA,"San Ramon, CA","May 01, 2025"
Purchasing Data Analyst,R+L Carriers,"Wilmington, OH","May 21, 2025"
Inbound Data Analyst,Molex,"Lisle, IL","May 21, 2025"
Data Analyst,Cardinal Health,United States,"May 22, 2025"
Data Analyst,CloudTrucks,"San Francisco, CA","May 21, 2025"
Patient Experience Data Analyst,"Deaconess Health System, Inc","Evansville, IN","May 19, 2025"
Data Analyst,Falcon School District 49,"Falcon, CO","May 20, 2025"
Data Analyst,Co-op Credit Union - CCU,"Black River Falls, WI","May 14, 2025"
"Data Analyst, District Success",Khan Academy,"Mountain View, CA","May 14, 2025"
Data Analyst - 2292318,Optum,"Eden Prairie, MN","May 24, 2025"
Technical Data Analyst,Arkatechture,Remote,"May 15, 2025"
Junior Data Analyst,New York State Psychiatry Institute,"New York, NY","May 22, 2025"
Jr. Data Analyst,Tamayo Federal Solutions LLC,United States,"May 22, 2025"
Business Data Analyst I,DHL,"Pataskala, OH","May 12, 2025"
Business Data Analyst,Noldor Inc,"New York, NY","May 22, 2025"
Data Analyst,Uline,"Pleasant Prairie, WI","May 21, 2025"
Network Data Analyst,Ciena,Remote,"May 20, 2025"
Senior Data Analyst,Xponential Fitness Llc,"Irvine, CA","May 24, 2025"
Data Analyst,Datamanusa,"Sacramento, CA","May 22, 2025"
Data Analyst - Remote Temporary Contract,Holland America Line,"Santa Clarita, CA","May 22, 2025"
Archive Data Analyst,Rush University Medical Center,"Chicago, IL","May 14, 2025"
Revenue Cycle Data Analyst,WYCKOFF HEIGHTS MEDICAL CENTER,"Brooklyn, NY","April 24, 2025"
